date,aespa,BABYMONSTER,i-dle,IVE,LE_SSERAFIM,TWICE
2024-09-29,90,30,6,63,42,96
2024-10-06,73,38,5,63,42,77
2024-10-13,66,32,3,61,38,68
2024-10-20,100,36,4,64,37,70
2024-10-27,87,75,4,65,37,69
2024-11-03,76,87,4,64,31,64
2024-11-10,71,72,3,66,37,67
2024-11-17,74,62,4,68,39,72
2024-11-24,78,63,4,67,34,68
2024-12-01,78,55,5,72,34,68
2024-12-08,76,44,3,69,37,74
2024-12-15,65,51,4,67,38,72
2024-12-22,83,64,3,71,47,78
2024-12-29,78,72,3,76,66,80
2025-01-05,66,67,5,79,42,65
2025-01-12,66,69,5,81,41,67
2025-01-19,61,81,5,81,43,76
2025-01-26,74,84,6,83,35,87
2025-02-02,73,65,4,87,33,78
2025-02-09,64,65,2,83,32,73
2025-02-16,57,63,5,81,36,71
2025-02-23,61,67,3,82,37,67
2025-03-02,61,69,3,77,41,67
2025-03-09,58,63,4,74,71,63
2025-03-16,77,80,5,76,100,64
2025-03-23,53,100,3,70,61,62
2025-03-30,58,58,7,77,54,62
2025-04-06,54,53,4,81,46,61
2025-04-13,47,53,3,76,48,61
2025-04-20,50,58,5,78,51,62
2025-04-27,49,46,39,79,42,63
2025-05-04,42,51,74,73,46,59
2025-05-11,47,50,62,75,45,58
2025-05-18,49,58,100,100,44,62
2025-05-25,65,59,85,84,38,60
2025-06-01,55,50,68,85,37,59
2025-06-08,68,58,61,81,63,74
2025-06-15,62,57,58,82,50,67
2025-06-22,82,63,57,86,73,70
2025-06-29,81,83,69,79,44,69
2025-07-06,82,75,56,82,49,77
2025-07-13,69,57,55,87,49,83
2025-07-20,67,63,53,87,58,82
2025-07-27,65,70,48,86,53,82
2025-08-03,74,57,54,87,53,88
2025-08-10,64,61,49,83,50,78
2025-08-17,67,66,48,83,48,89
2025-08-24,72,65,49,96,43,100
2025-08-31,88,64,46,88,60,83
2025-09-07,77,67,43,86,58,73
2025-09-14,67,57,39,83,57,91
2025-09-21,64,57,41,88,51,83
2025-09-28,64,61,50,84,43,92
