song_name,artist_name,popularity_score,mv_view_count,mv_like_count,mv_comment_count
Dirty Work,aespa,70,73321212,1272505,77791
Whiplash,aespa,75,244866241,2402503,90797
FAMOUS,ALLDAY PROJECT,74,49813417,0,36243
WICKED,ALLDAY PROJECT,71,23976822,0,8224
DRIP,BABYMONSTER,76,320596092,2965295,126750
MUSIC (Feat. LEE CHANHYUK),BIG Naughty,49,1742457,23721,1109
JUMP,BLACKPINK,90,284412666,6191104,454602
"IF I SAY, I LOVE YOU",BOYNEXTDOOR,65,43473171,464188,18428
Never Loved This Way Before,BOYNEXTDOOR,58,16999499,72625,1587
A Sleepless Night,CNBLUE,46,7217377,60532,3567
GO!,CORTIS,84,29857802,1007423,48556
Stitching,DAVICHI,29,628638,8284,342
Maybe Tomorrow,DAY6,50,11874588,76274,4227
body,DAYOUNG,71,6072631,145565,6102
Memory,DOYOUNG,59,1201618,63561,5186
Take Care,Dynamicduo,36,2203646,8827,269
TOO BAD,G-DRAGON,68,58992167,764981,54938
Skrr (feat. GISELLE),HAON,60,24684558,95889,0
Endless Ending,BEAST (HIGHLIGHT),33,64248,3660,176
Golden,HUNTR/X,99,797800608,4729990,145625
Cherish (My Love),ILLIT,74,52762457,630293,36249
REBEL HEART,IVE,68,55142764,739814,42184
MONA LISA,j-hope,78,68603137,1932439,142544
like JENNIE,JENNIE,88,206362289,3860974,197867
ZEN,JENNIE,70,68252507,2233221,145111
ExtraL (feat. Doechii),JENNIE,77,103988199,2399932,109011
earthquake,JISOO,75,95058522,3229010,184701
Wait On Me,KAI,63,13668859,282883,33960
UP - KARINA Solo,aespa,73,96868159,479824,86748
HUNTER,KEY,53,5369162,69252,5458
HOT,LE SSERAFIM,73,70104181,632062,30568
Vivid LaLa Love,LEE CHANHYUK,49,2924047,54793,3918
Coming Of Age Story,LEE MU JIN,56,7464530,31190,1753
1999,MARK,61,7037182,270580,18130
Fraktsiya,MARK,48,4234401,301454,11542
DROP TOP,MEOVV,64,29508907,0,11249
HER,MINNIE,60,37457222,477124,14410
Everlasting,N.Flying,46,6906178,30036,1726
When I'm With You,NCT DREAM,50,15482134,512962,42468
poppop,NCT WISH,63,10823668,210907,11216
HERO (From the Film ″Firefighters″),Park Hyo Shin,37,1634179,34328,4187
Life Is A Movie (Feat. Jung Zi So),pH-1,44,1234801,22103,576
Dash,PLAVE,62,12678462,178185,20551
Dear,QWER,55,21895605,312712,8907
Fly Up,RIIZE,52,50882794,195255,25607
toxic till the end,ROSÉ,80,119765060,2570459,112409
APT.,ROSÉ,88,2168909005,17259459,821297
If You Ask Me What Love Is,Roy Kim,54,9146397,25985,994
Soda Pop,Saja Boys,93,500661370,2007910,62750
THUNDER,SEVENTEEN,71,72149598,1051393,134873
Stop The Rain (TABLO X RM),TABLO,71,7307123,409444,48450
Letter To Myself,TAEYEON,55,4957949,140355,5309
YELLOW,TREASURE,47,73392264,753279,344066
Countdown!,TWS,64,24540553,150908,7873
When the Day Comes,TOMORROW X TOGETHER,64,2453609,58392,1184
Winter Ahead (with PARK HYO SHIN),V,83,24416361,1678643,163236
Beautiful Life,Xdinary Heroes,53,10117718,124425,7913
Doctor! Doctor!,ZEROBASEONE,59,9230336,243948,18782
